date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:28:49	201/201	---M--	200	added ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	https://shirali238.wixsite.com/robots.txt		(from )
00:28:49	504791/504791	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Apr%202021%2004:28:50%20GMT	https://shirali238.wixsite.com/portfolio	D:/Shirali/Shirali%20website/shirali238.wixsite.com/portfolio.html	(from )
00:28:50	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	D:/Shirali/Shirali%20website/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://shirali238.wixsite.com/portfolio)
00:28:50	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	D:/Shirali/Shirali%20website/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://shirali238.wixsite.com/portfolio)
00:28:50	37648/37648	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2024%20Mar%202021%2014:52:29%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	D:/Shirali/Shirali%20website/polyfill.io/v3/polyfill.mind82c.js	(from https://shirali238.wixsite.com/portfolio)
00:28:51	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Apr%202021%2004:28:52%20GMT	https://shirali238.wixsite.com/portfolio/decodeURIComponent(e	D:/Shirali/Shirali%20website/shirali238.wixsite.com/portfolio/decodeURIComponent(e	(from https://shirali238.wixsite.com/portfolio)
00:28:51	58325/58325	---M-Z	200	added ('OK')	application/javascript	etag:%2227315422580e3fc670b3db4a0f32598e%22	https://browser.sentry-cdn.com/5.21.4/bundle.min.js	D:/Shirali/Shirali%20website/browser.sentry-cdn.com/5.21.4/bundle.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:51	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Apr%202021%2004:28:52%20GMT	https://shirali238.wixsite.com/portfolio/https:	D:/Shirali/Shirali%20website/shirali238.wixsite.com/portfolio/https_	(from https://shirali238.wixsite.com/portfolio)
00:28:51	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Apr%202021%2004:28:52%20GMT	https://shirali238.wixsite.com/portfolio/robots.txt	D:/Shirali/Shirali%20website/shirali238.wixsite.com/portfolio/robots.txt	(from https://shirali238.wixsite.com/portfolio)
00:28:52	290/290	---M--	200	added ('OK')	text/xml	date:Thu,%2008%20Apr%202021%2004:28:53%20GMT	https://shirali238.wixsite.com/portfolio/sitemap.xml	D:/Shirali/Shirali%20website/shirali238.wixsite.com/portfolio/sitemap.xml	(from https://shirali238.wixsite.com/portfolio)
00:28:52	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Apr%202021%2004:28:53%20GMT	https://shirali238.wixsite.com/portfolio/feed.xml	D:/Shirali/Shirali%20website/shirali238.wixsite.com/portfolio/feed.xml	(from https://shirali238.wixsite.com/portfolio)
00:28:52	132276/132276	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e14fae0f4b3cba0ec457b80db4e7bb7f%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.7a8e7970.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.7a8e7970.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:53	172531/172531	---M-Z	200	added ('OK')	application/javascript	etag:W/%225aa69d003802515880b7b5fba726dc42%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.c4376c1f.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/main.c4376c1f.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:53	73261/73261	---M-Z	200	added ('OK')	application/javascript	etag:W/%22bc0594c54450e8ac689739b6b198067a%22	https://static.parastorage.com/unpkg/lodash@4.17.15/lodash.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/unpkg/lodash@4.17.15/lodash.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:53	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%22edf56a42bca6b565bf7dfcbd8ffc221a%22	https://static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:53	22010/22010	---M-Z	200	added ('OK')	application/javascript	etag:W/%22914b8b6381e9c9104e6988d1467dbb7d%22	https://static.parastorage.com/services/wix-thunderbolt/dist/wix-code-sdk-providers.c5789345.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/wix-code-sdk-providers.c5789345.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:54	3831/3831	---M-Z	200	added ('OK')	application/javascript	etag:W/%2269c4d8380c29c7d09d0b1b4b731a4108%22	https://static.parastorage.com/services/wix-thunderbolt/dist/dynamicPages.2f310d8b.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/dynamicPages.2f310d8b.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:54	19369/19369	---M-Z	200	added ('OK')	application/javascript	etag:W/%222bea6e47de81c2f19b225065e2b9e50f%22	https://static.parastorage.com/services/wix-thunderbolt/dist/page-features.82b621ec.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/page-features.82b621ec.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:54	19439/19439	---M-Z	200	added ('OK')	application/javascript	etag:W/%22580db280ad6b57229ca1a49b40b707f7%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ooi.809466cd.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/ooi.809466cd.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:54	4086/4086	---M-Z	200	added ('OK')	application/javascript	etag:W/%22dc83f9dc9ea4dc3d0e74748172b4e1a2%22	https://static.parastorage.com/services/wix-thunderbolt/dist/protectedPages.fe7a8024.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/protectedPages.fe7a8024.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
